School,SchoolHyphen,Latitude,Longitude
LAKE VIEW HIGH SCHOOL,LAKE-VIEW-HIGH-SCHOOL,41.95476407,-87.66895269
LANE TECH HIGH SCHOOL,LANE-TECH-HIGH-SCHOOL,41.94664458,-87.69101263
LANGFORD,LANGFORD,41.78468086,-87.65716921
LARA,LARA,41.8097703,-87.67218159
LASALLE,LASALLE,41.91389953,-87.63756486
LASALLE II,LASALLE-II,41.90291446,-87.67369603
LAVIZZO,LAVIZZO,41.69626235,-87.62714769
LAWNDALE,LAWNDALE,41.86296002,-87.71295679
LEE,LEE,41.77530539,-87.72888429
LELAND,LELAND,41.87358678,-87.74927555
LENART,LENART,41.74718592,-87.62804036
LEWIS,LEWIS,41.90682605,-87.75454995
LIBBY,LIBBY,41.79768483,-87.65993282
LINCOLN,LINCOLN,41.92452482,-87.6444973
LINCOLN PARK HIGH SCHOOL,LINCOLN-PARK-HIGH-SCHOOL,41.91826831,-87.64600936
LINDBLOM HIGH SCHOOL,LINDBLOM-HIGH-SCHOOL,41.7820408,-87.67166185
LITTLE VILLAGE,LITTLE-VILLAGE,41.84369812,-87.71731895
LLOYD,LLOYD,41.9188141,-87.74851501
LOCKE J,LOCKE-J,41.93176235,-87.79560407
LORCA,LORCA,41.94002591,-87.72478312
LOVETT,LOVETT,41.91271803,-87.78391885
LOWELL,LOWELL,41.90651959,-87.710217
LOZANO,LOZANO,41.90888613,-87.66509327
LYON,LYON,41.93419216,-87.7771742
MADERO,MADERO,41.84095691,-87.70506426
MADISON,MADISON,41.75954806,-87.5907124
MANIERRE,MANIERRE,41.90824688,-87.63982651
MANLEY HIGH SCHOOL,MANLEY-HIGH-SCHOOL,41.87093896,-87.69989559
MANN,MANN,41.74827413,-87.57481564
MARINE LEADERSHIP AT AMES HIGH SCHOOL,MARINE-LEADERSHIP-AT-AMES-HIGH-SCHOOL,41.91604463,-87.72174232
MARQUETTE,MARQUETTE,41.77388108,-87.6970298
MARSH,MARSH,41.71658802,-87.55248343
MARSHALL HIGH SCHOOL,MARSHALL-HIGH-SCHOOL,41.87844409,-87.70805007
MASON,MASON,41.8568637,-87.73167243
MATHER HIGH SCHOOL,MATHER-HIGH-SCHOOL,41.98758868,-87.7024964
MAYER,MAYER,41.92320352,-87.65728744
MAYS,MAYS,41.7727275,-87.63727735
MCAULIFFE,MCAULIFFE,41.91481634,-87.72393113
MCCLELLAN,MCCLELLAN,41.82999286,-87.64110258
MCCORMICK,MCCORMICK,41.84226717,-87.70630009
MCCUTCHEON,MCCUTCHEON,41.97094908,-87.65475845
MCDADE,MCDADE,41.73454991,-87.61921444
MCDOWELL,MCDOWELL,41.73313231,-87.5895895
MCKAY,MCKAY,41.76814276,-87.6917865
MCNAIR,MCNAIR,41.89781907,-87.74673078
MCPHERSON,MCPHERSON,41.96784687,-87.67628825
MELODY,MELODY,41.87879893,-87.72466123
METCALFE,METCALFE,41.66944402,-87.63430552
MIRELES,MIRELES,41.73171692,-87.55278794
MITCHELL,MITCHELL,41.89208217,-87.68318459
MOLLISON,MOLLISON,41.81435828,-87.61661794
MONROE,MONROE,41.9299886,-87.71922375
MOOS,MOOS,41.91250548,-87.69694139
MORGAN PARK HIGH SCHOOL,MORGAN-PARK-HIGH-SCHOOL,41.69203501,-87.66565755
MORRILL,MORRILL,41.78431328,-87.68854926
MORTON,MORTON,41.88917814,-87.70510783
MOUNT GREENWOOD,MOUNT-GREENWOOD,41.69573386,-87.70580994
MOUNT VERNON,MOUNT-VERNON,41.70195212,-87.64765249
MOZART,MOZART,41.92090965,-87.72188814
MULTICULTURAL HIGH SCHOOL,MULTICULTURAL-HIGH-SCHOOL,41.83528187,-87.7352833
MURPHY,MURPHY,41.95007775,-87.71683186
MURRAY,MURRAY,41.79853549,-87.59334041
NASH,NASH,41.89180975,-87.74793588
NATIONAL TEACHERS,NATIONAL-TEACHERS,41.85279977,-87.62930833
NEIL,NEIL,41.7384066,-87.62093346
NETTELHORST,NETTELHORST,41.94163655,-87.64456122
NEW FIELD,NEW-FIELD,42.00770257,-87.67316833
NEW SULLIVAN,NEW-SULLIVAN,41.74382852,-87.54292761
NEWBERRY,NEWBERRY,41.91394722,-87.64599025
NICHOLSON,NICHOLSON,41.78494238,-87.64745284
NIGHTINGALE,NIGHTINGALE,41.79771438,-87.68913886
NINOS HEROES,NINOS-HEROES,41.74375308,-87.55186172
NIXON,NIXON,41.91958145,-87.73142009
NOBEL,NOBEL,41.90615515,-87.72995463
NORTH RIVER,NORTH-RIVER,41.96172106,-87.70715073
NORTH-GRAND HIGH SCHOOL,NORTH-GRAND-HIGH-SCHOOL,41.91167369,-87.73523756
NORTHSIDE LEARNING HIGH SCHOOL,NORTHSIDE-LEARNING-HIGH-SCHOOL,41.98297252,-87.72238622
NORTHSIDE PREP HIGH SCHOOL,NORTHSIDE-PREP-HIGH-SCHOOL,41.98131528,-87.7087078
NORTHWEST,NORTHWEST,41.92061097,-87.75792051
NORWOOD PARK,NORWOOD-PARK,41.98815251,-87.80297944
OGDEN ELEMENTARY SCHOOL,OGDEN-ELEMENTARY-SCHOOL,41.89997649,-87.62929657
OGDEN HIGH SCHOOL,OGDEN-HIGH-SCHOOL,41.89354764,-87.65940468
OGLESBY,OGLESBY,41.75467006,-87.6454695
OKEEFFE,OKEEFFE,41.76860231,-87.57280596
ONAHAN,ONAHAN,41.99379035,-87.79310826
ORIOLE PARK,ORIOLE-PARK,41.97850138,-87.81205404
OROZCO,OROZCO,41.85775481,-87.67521046
ORR HIGH SCHOOL,ORR-HIGH-SCHOOL,41.89454672,-87.72665959
ORTIZ DE DOMINGUEZ,ORTIZ-DE-DOMINGUEZ,41.83879052,-87.71719032
OTIS,OTIS,41.89180608,-87.66542624
OTOOLE,OTOOLE,41.77457107,-87.674865
OWEN,OWEN,41.74284992,-87.70574909
OWENS,OWENS,41.67061754,-87.62254566
PALMER,PALMER,41.97328939,-87.73921295
PARK MANOR,PARK-MANOR,41.76647654,-87.61154559
PARKER,PARKER,41.7707798,-87.63408586
PARKSIDE,PARKSIDE,41.76855519,-87.58295438
PASTEUR,PASTEUR,41.78689538,-87.73266646
PAYTON HIGH SCHOOL,PAYTON-HIGH-SCHOOL,41.90157517,-87.63538477
PEACE AND EDUCATION HIGH SCHOOL,PEACE-AND-EDUCATION-HIGH-SCHOOL,41.80351472,-87.66737777
