School,Latitude,Longitude,mer_coords_x,mer_coords_y,Q3 SY20,Q4 SY20,Summer SY20,Q1 SY21,Q2 SY21,20210115
GALE,42.02109056,-87.67193898,-9759595.60369065,5164139.230968281,0,0,0,1,0,0
GALILEO,41.87125482,-87.65336555,-9757528.019686608,5141713.508016538,0,0,0,0,0,0
GALLISTEL,41.706801,-87.53517531,-9744371.141547589,5117160.338286109,0,0,0,1,0,0
GARVEY,41.70660286,-87.64757717,-9756883.659294745,5117130.793696965,0,0,0,0,1,1
GARVY,41.97635166,-87.79623511,-9773432.18646509,5157437.69587025,0,0,0,2,0,0
GARY,41.83706515,-87.71869664,-9764800.64254984,5136603.755022912,0,1,0,2,1,1
GILLESPIE,41.72533228,-87.62371944,-9754227.82919529,5119923.936905507,1,0,0,0,0,0
GOETHE,41.92283101,-87.6928997,-9761928.940325528,5149426.903134501,0,0,0,1,0,0
GOODE HIGH SCHOOL,41.7537498,-87.70734535,-9763537.022975884,5124163.435278355,0,0,1,0,0,0
GOUDY,41.97581653,-87.65791249,-9758034.182655547,5157357.565550325,0,0,0,0,1,1
GRAHAM ELEMENTARY SCHOOL,41.81330373,-87.64334424,-9756412.451729031,5133054.144192019,0,0,0,1,0,0
GRAHAM HIGH SCHOOL,41.84967542,-87.62531482,-9754405.425836619,5138488.080600292,0,1,0,0,1,1
GRAY,41.94876358,-87.7571156,-9769077.421921834,5153307.56381846,0,3,0,0,2,2
GREELEY,41.95280951,-87.65097987,-9757262.446589645,5153913.156741745,0,0,0,3,1,1
GREEN,41.71929195,-87.65250014,-9757431.682253227,5119023.045314353,0,0,0,0,0,0
GREENE,41.82966928,-87.67149237,-9759545.887673032,5135498.778326771,0,1,0,1,1,1
GREGORY,41.87074216,-87.71866613,-9764797.246547587,5141636.868906703,0,0,0,0,1,1
GRESHAM,41.73892016,-87.64502524,-9756599.57999669,5121950.824926928,0,0,0,1,2,2
GRIMES,41.77546426,-87.75880329,-9769265.295284143,5127404.195119869,0,0,1,0,0,0
